"Código Dane departamento","Departamento","Código Dane municipio","Municipio","Grupo cultivo","Subgrupo","Cultivo","Desagregación cultivo","Año","Periodo","Área sembrada","Área cosechada","Producción","Rendimiento","Ciclo del cultivo","Estado físico del cultivo","Código del cultivo","Nombre científico del cultivo"
"05","Antioquia","05030","Amagá","Cereales","Cereales","Arroz","Arroz secano manual","2022","2022B","2,00","0,50","0,89","1,78","Transitorio","Paddy o cáscara verde","1010102","Oryza sativa"
"05","Antioquia","05045","Apartadó","Cereales","Cereales","Arroz","Arroz secano manual","2019","2019A","719,00","700,00","1.499,40","2,14","Transitorio","Paddy o cáscara verde","1010102","Oryza sativa"
"05","Antioquia","05045","Apartadó","Cereales","Cereales","Arroz","Arroz secano manual","2019","2019B","751,00","735,00","1.574,37","2,14","Transitorio","Paddy o cáscara verde","1010102","Oryza sativa"
"05","Antioquia","05045","Apartadó","Cereales","Cereales","Arroz","Arroz secano manual","2020","2020A","719,00","700,00","1.499,40","2,14","Transitorio","Paddy o cáscara verde","1010102","Oryza sativa"
"05","Antioquia","05045","Apartadó","Cereales","Cereales","Arroz","Arroz secano manual","2020","2020B","751,00","735,00","1.574,37","2,14","Transitorio","Paddy o cáscara verde","1010102","Oryza sativa"
"05","Antioquia","05045","Apartadó","Cereales","Cereales","Arroz","Arroz secano manual","2021","2021A","719,00","700,00","1.499,40","2,14","Transitorio","Paddy o cáscara verde","1010102","Oryza sativa"
"05","Antioquia","05045","Apartadó","Cereales","Cereales","Arroz","Arroz secano manual","2021","2021B","751,00","735,00","1.574,37","2,14","Transitorio","Paddy o cáscara verde","1010102","Oryza sativa"
"05","Antioquia","05045","Apartadó","Cereales","Cereales","Arroz","Arroz secano manual","2022","2022A","680,00","408,00","775,20","1,90","Transitorio","Paddy o cáscara verde","1010102","Oryza sativa"
"05","Antioquia","05045","Apartadó","Cereales","Cereales","Arroz","Arroz secano manual","2022","2022B","638,00","878,00","1.878,92","2,14","Transitorio","Paddy o cáscara verde","1010102","Oryza sativa"
"05","Antioquia","05045","Apartadó","Cereales","Cereales","Arroz","Arroz secano manual","2023","2023A","726,00","758,00","1.713,84","2,26","Transitorio","Paddy o cáscara verde","1010102","Oryza sativa"
"05","Antioquia","05045","Apartadó","Cereales","Cereales","Arroz","Arroz secano manual","2023","2023B","802,00","802,00","1.523,80","1,90","Transitorio","Paddy o cáscara verde","1010102","Oryza sativa"
"05","Antioquia","05045","Apartadó","Cereales","Cereales","Arroz","Arroz secano manual","2024","2024A","754,00","0,00","0,00","0,00","Transitorio","Paddy o cáscara verde","1010102","Oryza sativa"
"05","Antioquia","05045","Apartadó","Cereales","Cereales","Arroz","Arroz secano manual","2024","2024B","842,00","754,00","1.432,60","1,90","Transitorio","Paddy o cáscara verde","1010102","Oryza sativa"
"05","Antioquia","05045","Apartadó","Cereales","Cereales","Arroz","Arroz secano mecanizado","2019","2019A","202,00","198,00","942,48","4,76","Transitorio","Paddy o cáscara verde","1010103","Oryza sativa"
