Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20002002,2000-2002,%,123
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20012003,2001-2003,%,123
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20022004,2002-2004,%,122
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20032005,2003-2005,%,122
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20042006,2004-2006,%,121
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20052007,2005-2007,%,122
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20062008,2006-2008,%,123
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20072009,2007-2009,%,122
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20082010,2008-2010,%,121
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20092011,2009-2011,%,120
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20102012,2010-2012,%,121
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20112013,2011-2013,%,124
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20122014,2012-2014,%,126
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20132015,2013-2015,%,129
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20142016,2014-2016,%,130
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20152017,2015-2017,%,130
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20162018,2016-2018,%,130
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20172019,2017-2019,%,129
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20182020,2018-2020,%,130
FS,Datos de Seguridad Alimentaria,44,Colombia,6121,Valor,21010,Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años),20192021,2019-2021,%,130
