Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2000,2000,toneladas,27638.53
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2001,2001,toneladas,28138.02
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2002,2002,toneladas,28860.77
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2003,2003,toneladas,29317.16
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2004,2004,toneladas,30036.37
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2005,2005,toneladas,29320.16
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2006,2006,toneladas,28421.47
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2007,2007,toneladas,26960.93
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2008,2008,toneladas,26204.76
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2009,2009,toneladas,23633.78
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2010,2010,toneladas,7402.5
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2011,2011,toneladas,7501.5
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2012,2012,toneladas,8930
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2013,2013,toneladas,8901
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2014,2014,toneladas,9394
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2015,2015,toneladas,7527.66
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2016,2016,toneladas,7898
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2017,2017,toneladas,8425.89
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2018,2018,toneladas,6877.05
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2019,2019,toneladas,5503.92
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2020,2020,toneladas,12020.76
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2021,2021,toneladas,13536.82
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2022,2022,toneladas,17270.47
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,60,"Aceite, maíz",2023,2023,toneladas,14460.85
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2000,2000,kg/ha,4732.4
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2000,2000,toneladas,2237270
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2001,2001,kg/ha,4547.2
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2001,2001,toneladas,2156310
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2002,2002,kg/ha,4800.1
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2002,2002,toneladas,2063030
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2003,2003,kg/ha,4853.6
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2003,2003,toneladas,2417190
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2004,2004,kg/ha,4803.8
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2004,2004,toneladas,2496720
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2005,2005,kg/ha,4838.8
